Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
18-12-2017,318.8999939,824.0683594,905.4335938,302.5942078,547.5700073,1135.749146,4274.394043,235.3294678,156.1505737,466.1251831
19-12-2017,319.4500122,851.9553223,909.9636841,307.2479858,552.1643066,1138.039795,4324.619629,236.6711273,158.2439575,461.2818909
20-12-2017,317.25,849.1027832,904.793457,309.2564697,554.211792,1150.053101,4306.224121,235.508316,160.5509644,465.1840515
21-12-2017,316.5499878,846.840332,899.1799927,308.3747253,548.7186279,1172.163208,4308.05957,235.239975,160.6364136,468.9714661
22-12-2017,319.8500061,842.1187134,904.5472412,309.9912109,552.8135376,1184.176392,4251.089844,235.5530396,165.2504425,476.7069702
26-12-2017,316.8500061,841.1350098,913.9028931,311.0689697,553.6624146,1186.934326,4286.243164,236.1344452,165.5922241,474.8476868
27-12-2017,314.1499939,836.5118408,908.2894897,306.3172302,553.8621826,1176.650635,4237.256836,234.6586304,164.5241547,474.7099609
28-12-2017,308.2999878,838.479187,910.357605,307.8847961,546.7211304,1171.648926,4240.380371,233.7194366,164.9086761,474.6870117
29-12-2017,309.5,842.0203247,907.0584717,307.6398621,561.7025146,1175.108032,4284.656738,235.3294678,166.3184814,477.1201172
01-01-2018,307.0499878,839.6594849,897.7028198,304.2597351,564.1494141,1179.642334,4221.885742,235.195282,164.3959808,474.9395142
02-01-2018,302.8999939,831.5934448,897.5551147,302.986084,559.0058594,1167.769165,4219.456543,233.4064026,168.2837372,472.6211243
03-01-2018,302.8500061,842.364563,902.4298706,308.6686096,559.6550293,1193.057861,4258.577148,233.4511261,165.5067596,467.8467102
04-01-2018,308.0499878,877.1372681,906.2706299,308.423645,558.6063232,1229.752197,4304.638672,233.1380615,170.3344269,466.1022339
05-01-2018,306.2000122,894.2039185,908.9788818,306.2682495,562.4016113,1228.910889,4358.780762,235.1505432,168.9245758,464.6331482
08-01-2018,305.6499939,909.8442383,914.3460083,307.7868042,564.6488037,1250.974243,4373.903809,237.3419647,168.4546204,475.444458
09-01-2018,304.25,917.56604,926.6069336,305.8273315,564.4490967,1246.019165,4378.61377,241.9483948,168.2410126,478.0382996
10-01-2018,301.0499878,903.0077515,927.1978149,305.6803894,561.8522949,1237.651978,4356.301758,240.875,168.6255035,482.7667542
11-01-2018,302,892.6300659,922.9631348,303.1820679,557.5576172,1234.333252,4359.723633,241.4116821,168.9672852,493.7846985
12-01-2018,301.7999878,889.5314941,932.368042,311.1669922,555.06073,1242.653564,4354.517578,239.2650146,171.1034088,495.0700684
15-01-2018,302.25,904.2373047,933.2051392,322.7769165,560.0045776,1236.950928,4487.099121,239.0414124,167.9419708,495.9882507
16-01-2018,296.1499939,875.9076538,909.4711914,327.3817139,558.0570068,1237.091064,4505.890625,234.1219482,168.4118958,515.4990845
17-01-2018,306.3500061,879.7932129,910.6038208,336.1505127,584.0247803,1264.202881,4504.502441,237.8339233,167.1729279,528.9730835
18-01-2018,302.75,871.2352905,905.335022,339.0896912,582.9760742,1270.326416,4371.672852,244.0503387,165.8058319,529.2025757
19-01-2018,309.0499878,877.9242554,915.2323608,346.3887939,589.5179443,1282.620239,4264.229004,244.9447632,165.4213257,524.8413086
22-01-2018,306.25,894.1055908,956.4466553,344.1843567,610.2921143,1307.862183,4293.82959,244.4975433,170.8470764,528.0778198
23-01-2018,318,889.0888672,966.7871704,354.7166138,618.1324463,1317.772095,4331.561035,247.1361542,176.9990845,539.5087891
24-01-2018,329.5,873.25177,949.897644,345.5069885,607.1460571,1309.217896,4247.916992,251.7872772,179.8615265,544.0766602
25-01-2018,313.1499939,870.8417969,949.897644,351.0425415,612.9887695,1320.950562,4318.818359,251.2059021,177.9390106,537.4888916
29-01-2018,311.1000061,882.4490967,949.1590576,350.0628357,604.6491699,1335.30127,4350.699219,246.5547791,175.1193237,542.401062
